node_type_from,node_id_from,edge_type,node_type_to,node_id_to,attributes
trial,NCT01583881,TESTS,intervention_class,Other,{}
trial,NCT01583881,COMPARES,comparator_class,Placebo/SoC,{}
trial,NCT01583881,PRESPECIFIES,outcome_specified,Change from baseline E/E' at 12 months,"{""time_frame"": ""12 months after treatment""}"
trial,NCT01583881,PRESPECIFIES,outcome_specified,Number of participants with adverse events,"{""time_frame"": ""1 year""}"
trial,NCT01708798,TESTS,intervention_class,MRA,{}
trial,NCT01708798,COMPARES,comparator_class,Placebo/SoC,{}
trial,NCT01708798,PRESPECIFIES,outcome_specified,Change in average E' (averaged septal E' and lateral E'),"{""time_frame"": ""6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Development of worsening diastolic function,"{""time_frame"": ""6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Development of worsening systolic function,"{""time_frame"": ""6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Change in septal E',"{""time_frame"": ""6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Change in lateral E',"{""time_frame"": ""6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Change in E/E',"{""time_frame"": ""6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Change in E/A,"{""time_frame"": ""6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Change in left atrial volume index,"{""time_frame"": ""6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Change in left ventricular ejection fraction (LVEF),"{""time_frame"": ""6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Biomarkers,"{""time_frame"": ""Baseline, 1 week, 2 weeks, 4 weeks, 6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Incidence of hyperkalemia,"{""time_frame"": ""6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Incidence of adverse events leading to discontinuation of study drug,"{""time_frame"": ""6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Signal-averaged ECG (SAECG) changes,"{""time_frame"": ""Baseline, 8-12 weeks, 6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Exercise stress test,"{""time_frame"": ""Baseline, 6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Genetic predictors of cardiotoxicity and of response to eplerenone,"{""time_frame"": ""6 months""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,ECG changes,"{""time_frame"": ""Pre- and post-chemotherapy infusions (over 8-12 weeks)""}"
trial,NCT01708798,PRESPECIFIES,outcome_specified,Global longitudinal strain (GLS),"{""time_frame"": ""6 months""}"
trial,NCT01896908,TESTS,intervention_class,Other,{}
trial,NCT01896908,COMPARES,comparator_class,Placebo/SoC,{}
trial,NCT01896908,PRESPECIFIES,outcome_specified,Weight loss,"{""time_frame"": ""seven days or hospital discharge""}"
trial,NCT01896908,PRESPECIFIES,outcome_specified,Assessment of clinical stability,"{""time_frame"": ""Seven days or hospital discharge""}"
trial,NCT01896908,PRESPECIFIES,outcome_specified,Neurohormonal activation,"{""time_frame"": ""On admission and at discharge""}"
