nct_id,outcome_domain,time_frame,time_months,module_path,group_id,arm_group_name,arm_role,arm_class,arm_label,subjects_with_sae,event_count,denominator,count_type,is_event_count,is_incomplete,source_url
NCT02884206,SAE,"Adverse events were reported from first dose of study treatment until end of study treatment plus 30 days post treatment, up to a maximum duration of 37 months.",37.0,resultsSection.adverseEventsModule,EG001,Valsartan Run-in 80 mg Bid,treatment,ARB/ACEi,valsartan,1,,675,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02884206
NCT02918552,SAE,Adverse event data was collected for the entire 16 weeks the subject was in the study via telephone assessment for interval histories from visits 1-7 and 7 days after visit 7.,3.6823935558112777,resultsSection.adverseEventsModule,EG001,Control Arm,comparator,Placebo/SoC,placebo,2,,8,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02918552
NCT02918552,SAE,Adverse event data was collected for the entire 16 weeks the subject was in the study via telephone assessment for interval histories from visits 1-7 and 7 days after visit 7.,3.6823935558112777,resultsSection.adverseEventsModule,EG000,Treatment Arm,treatment,Other,treatment arm,1,,7,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02918552
NCT02941705,SAE,Adverse event data were collected over 1 year following infusion.,12.0,resultsSection.adverseEventsModule,EG001,CONTROL ARM,comparator,Placebo/SoC,placebo,1,,13,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02941705
NCT02941705,SAE,Adverse event data were collected over 1 year following infusion.,12.0,resultsSection.adverseEventsModule,EG000,RECIEVED CELLS,treatment,Other,recieved cells,2,,13,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT02941705
NCT03015402,SAE,"From Baseline through study completion, up to 26 weeks",5.983889528193326,resultsSection.adverseEventsModule,EG000,Oral Nitrite,treatment,Other,oral nitrite,9,,24,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03015402
NCT03015402,SAE,"From Baseline through study completion, up to 26 weeks",5.983889528193326,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,8,,24,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03015402
NCT03030235,SAE,"Adverse events were collected for up to 15 weeks. The adverse event collection period started at the time the patient signed consent at their Screening Visit, continued through a 12-week double-blind treatment period after randomization, and ended after completion of a 1-week follow-up period after completion of the double-blind treatment period.",3.4522439585730726,resultsSection.adverseEventsModule,EG000,Dapagliflozin,treatment,SGLT2 inhibitors,dapagliflozin,14,,162,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03030235
NCT03030235,SAE,"Adverse events were collected for up to 15 weeks. The adverse event collection period started at the time the patient signed consent at their Screening Visit, continued through a 12-week double-blind treatment period after randomization, and ended after completion of a 1-week follow-up period after completion of the double-blind treatment period.",3.4522439585730726,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,6,,162,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03030235
NCT03037580,SAE,The Treatment Phase was 24 weeks for each subject. The study was discontinued by the Sponsor on 14 October 2019 due to slow enrollment.,5.523590333716917,resultsSection.adverseEventsModule,EG000,Oral Treprostinil,treatment,Other,oral treprostinil,2,,41,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03037580
